instance,dimension,run,seed,beta,gamma,best_known,best_length,gap_percent,final_effective_count,final_edge_diversity,runtime_seconds
ch150,150,6,20270810,0.0,1.0,6528,6670,2.1752450980392157,15.999999999743997,0.0,0.6967875059999642
ch150,150,6,20270810,0.0,4.0,6528,6649,1.8535539215686274,15.999999999743997,0.0,0.7036588080000001
ch150,150,6,20270810,0.0,8.0,6528,6711,2.8033088235294117,15.999999999743997,0.0,0.7290541380002651
ch150,150,6,20270810,2.0,0.0,6528,6670,2.1752450980392157,15.999999999743997,0.0,0.7174925350000194
ch150,150,6,20270810,2.0,1.0,6528,6649,1.8535539215686274,15.999999999743997,0.0,0.7150447590001932
ch150,150,6,20270810,2.0,4.0,6528,6699,2.619485294117647,15.999999999743997,0.0,0.6993373610002891
ch150,150,6,20270810,2.0,8.0,6528,6670,2.1752450980392157,15.999999999743997,0.0,0.7106052350000027
ch150,150,6,20270810,6.0,0.0,6528,6670,2.1752450980392157,15.999999999743997,0.0,0.7291561940000975
ch150,150,6,20270810,6.0,1.0,6528,6670,2.1752450980392157,15.999999999743997,0.0,0.7452067720000741
ch150,150,6,20270810,6.0,4.0,6528,6670,2.1752450980392157,15.999999999743997,0.0,0.9594036219996269
ch150,150,6,20270810,6.0,8.0,6528,6649,1.8535539215686274,15.999999999743997,0.0,0.9201932360001592
ch150,150,6,20270810,12.0,0.0,6528,6662,2.0526960784313726,15.999999999743997,0.0,0.7008274700001493
ch150,150,6,20270810,12.0,1.0,6528,6649,1.8535539215686274,15.999999999743997,0.0,0.8195080630002849
ch150,150,6,20270810,12.0,4.0,6528,6649,1.8535539215686274,15.999999999743997,0.0,0.7660193070000787
ch150,150,6,20270810,12.0,8.0,6528,6649,1.8535539215686274,15.999999999743997,0.0,0.7344332319999012
ch150,150,7,20270811,0.0,0.0,6528,6554,0.39828431372549017,15.999999999743997,0.0,0.701523176000137
ch150,150,7,20270811,0.0,1.0,6528,6597,1.056985294117647,15.999999999743997,0.0,0.7142023740002514
ch150,150,7,20270811,0.0,4.0,6528,6597,1.056985294117647,15.999999999743997,0.0,0.7234874660002788
ch150,150,7,20270811,0.0,8.0,6528,6597,1.056985294117647,15.999999999743997,0.0,0.7093896629999108
ch150,150,7,20270811,2.0,0.0,6528,6608,1.2254901960784315,15.999999999743997,0.0,0.7432704699999704
ch150,150,7,20270811,2.0,1.0,6528,6618,1.3786764705882353,15.999999999743997,0.0,0.8060401179996006
ch150,150,7,20270811,2.0,4.0,6528,6568,0.6127450980392157,15.999999999743997,0.0,0.7946121200002381
ch150,150,7,20270811,2.0,8.0,6528,6608,1.2254901960784315,15.999999999743997,0.0,0.7045980270004293
ch150,150,7,20270811,6.0,0.0,6528,6608,1.2254901960784315,15.999999999743997,0.0,0.7111742839997532
ch150,150,7,20270811,6.0,1.0,6528,6608,1.2254901960784315,15.999999999743997,0.0,0.7094322190000639
ch150,150,7,20270811,6.0,4.0,6528,6558,0.45955882352941174,15.999999999743997,0.0,0.7630088870000691
ch150,150,7,20270811,6.0,8.0,6528,6579,0.78125,15.999999999743997,0.0,0.7517125379999925
ch150,150,7,20270811,12.0,0.0,6528,6554,0.39828431372549017,15.999999999743997,0.0,0.783225904000119
